external_row,section,term,definition,external_verdict,original_axiom,corrected_axiom,external_notes,match_kind,coms_subject,coms_sheet,coms_row,coms_row_id,coms_status,coms_predicate,coms_target,coms_reasoning,preliminary_disposition,validated_disposition,validated_basis
12,Common Classes,sosa:ObservationCollection,set of Observations or ObservationCollections; collections may be nested,OK as-is,subClassOf bfo:Process and (bfo:has_occurrent_part some (sosa:Observation or sosa:ObservationCollection)),sosa:ObservationCollection rdfs:subClassOf [ a owl:Class ; owl:intersectionOf ( obo:BFO_0000015 [ a owl:Restriction ; owl:onProperty obo:BFO_0000117 ; owl:someValuesFrom [ a owl:Class ; owl:unionOf ( sosa:Observation sosa:ObservationCollection ) ] ] ) ] .,"ObservationCollection is modeled as a bfo:Process because an ObservationCollection is itself an occurrent — it takes place over the time span covered by its member Observations and shares the process nature of the Observations that compose it. The axiom uses only a some-restriction on bfo:has_occurrent_part and deliberately omits an only-restriction. An only-restriction would be incorrect here because bfo:has_occurrent_part is transitive and ranges over all occurrent parts at any depth, including the internal sub-processes of the member Observations themselves (e.g., an Observation has a cco:ActOfMeasuring as a process part, and that ActOfMeasuring is not itself an Observation). Asserting bfo:has_occurrent_part only sosa:Observation on the collection would therefore force every internal sub-process of every member to also be a sosa:Observation, which is wrong. The homogeneity of direct collection members — what SOSA means when it writes ""a collection of Observations"" — is a constraint on direct sosa:hasMember edges, not on deep BFO occurrent parthood, and is enforced by the SHACL shape on sosa:hasMember (see Common OPs: sosa:hasMember). Note the terminological distinction: ""SOSA member"" refers to the sosa:hasMember relation between a collection and the things it gathers; ""BFO occurrent part"" is the mereological relation that holds transitively over all sub-processes. These two concepts are intentionally decoupled in this workbook. The parthood of at least one member is asserted directly at the class level via bfo:has_occurrent_part rather than through sosa:hasMember, because sosa:hasMember is declared as a bare object property with no parthood sub-property assertion (see Common OPs: sosa:hasMember). This row and the hasMember row work as a pair: the class carries the BFO parthood entailment where it is well-defined, the property carries the uniform SOSA collection-membership semantics, and SHACL shapes on hasMember validate member types per collection class.",exact,sosa:ObservationCollection,Sheet1,12,urn:uuid:31d563c8-5d91-436e-b3a3-3170f8b4483a,active,rdfs:subClassOf,bfo:Process and (bfo:has_occurrent_part some (sosa:Observation or sosa:ObservationCollection)),,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
13,Common Classes,sosa:ObservingProcedure,"workflow, protocol, plan, algorithm, or computational method specifying how to make an Observation",Decision needed (default in place),subClassOf sosa:Procedure and (cco:prescribes some sosa:Observation),"sosa:ObservingProcedure rdfs:subClassOf sosa:Procedure , [ a owl:Restriction ; owl:onProperty cco:ont00001942 ; owl:allValuesFrom sosa:Observation ] ; rdfs:comment ""A Procedure all of whose prescribed acts are Observations (allValuesFrom, so no actual Observation is entailed for an unused procedure). See Decisions needed (Procedure family).""@en .",sosa:ObservingProcedure is a subclass of sosa:Procedure because it is a prescriptive information content entity that specifies how an observation is to be carried out. The existential restriction on cco:prescribes distinguishes it from sosa:ActuatingProcedure and sosa:SamplingProcedure.,exact,sosa:ObservingProcedure,Sheet1,13,urn:uuid:277e554b-faab-4405-a559-8d4f24993ea5,active,rdfs:subClassOf,sosa:Procedure and (cco:prescribes some sosa:Observation),,human decision required,,
14,Common Classes,sosa:Platform,"An Asset that hosts other Assets, particularly Systems (often Sensors), and other Platforms.",Semantic redesign,equivalentTo bfo:MaterialEntity and (sosa:hosts some sosa:System),"sosa:Platform owl:equivalentClass [ a owl:Class ; owl:intersectionOf ( obo:BFO_0000040 [ a owl:Restriction ; owl:onProperty sosa:hosts ; owl:someValuesFrom [ a owl:Class ; owl:unionOf ( sosa:System sosa:Platform ) ] ] ) ] ; rdfs:comment ""Hosted filler widened to (System or Platform), matching the SOSA definition ('hosts Assets, particularly Systems and other Platforms') and the native range of sosa:hosts; the workbook filler 'hosts some System' mis-scoped platforms that host only sub-platforms.""@en .","sosa:Platform is modeled as a bfo:MaterialEntity defined by its role in hosting systems, without committing to parthood, attachment, or containment as necessary conditions. The equivalentTo axiom captures that hosting at least one system is both necessary and sufficient for being a platform.",exact,sosa:Platform,Sheet1,14,urn:uuid:59e7a370-d6ed-4046-905c-854752bf74cc,active,owl:equivalentClass,bfo:MaterialEntity and (sosa:hosts some sosa:System),,substantive reconciliation required,,
15,Common Classes,sosa:Procedure,"workflow, protocol, plan, algorithm, or computational method specifying how to make an Execution",Decision needed (default in place),subClassOf cco:PrescriptiveInformationContentEntity and (cco:prescribes some bfo:Process),"sosa:Procedure rdfs:subClassOf cco:ont00000965 ; rdfs:comment ""Modelled as a Prescriptive Information Content Entity. The workbook's additional conjunct 'prescribes some Process' is dropped: a Procedure is re-usable and may prescribe zero, one, or many executions, so requiring an actual prescribed process over-commits. See Decisions needed.""@en .","sosa:Procedure is mapped to cco:PrescriptiveInformationContentEntity because a procedure is an information content entity that prescribes how a process is to be carried out, rather than being itself a process or disposition. (Verified against the CCO release in use: the relevant ICE subclass is 'Prescriptive Information Content Entity'; CCO contains no 'Directive Information Content Entity'.)",exact,sosa:Procedure,Sheet1,15,urn:uuid:ece2ea89-fff4-4cc1-9697-030c0a733353,active,rdfs:subClassOf,cco:DirectiveInformationContentEntity and (cco:prescribes some bfo:Process),,human decision required,,
16,Common Classes,sosa:Property,identifiable quality of features of interest that can be observed or acted upon,Decision needed (default in place),equivalentTo (bfo:SpecificallyDependentContinuant or bfo:ProcessProfile),sosa:Property owl:equivalentClass [ a owl:Class ; owl:unionOf ( obo:BFO_0000020 obo:BFO_0000144 ) ] .,sosa:Property is modeled as the union of bfo:SpecificallyDependentContinuant and bfo:ProcessProfile in order to accommodate both intrinsic qualities that inhere in independent continuants and temporal properties that are process profiles of occurrents within a single SOSA abstraction.,exact,sosa:Property,Sheet1,16,urn:uuid:3feb0ec5-269e-41b4-865f-ca9437affcb2,active,owl:equivalentClass,(bfo:SpecificallyDependentContinuant or bfo:ProcessProfile),,human decision required,,
17,Common Classes,sosa:Sample,piece or subset that is intended to be representative of a FeatureOfInterest,OK as-is,subClassOf bfo:Continuant and (sosa:isSampleOf some sosa:FeatureOfInterest),sosa:Sample rdfs:subClassOf [ a owl:Class ; owl:intersectionOf ( obo:BFO_0000002 [ a owl:Restriction ; owl:onProperty sosa:isSampleOf ; owl:someValuesFrom sosa:FeatureOfInterest ] ) ] .,"sosa:Sample is defined as a bfo:Continuant because all sample subclasses — sosa:MaterialSample, sosa:SpatialSample, and sosa:StatisticalSample — are continuants, and sosa:SampleCollection uses bfo:has_continuant_part whose domain is bfo:Continuant. SOSA 2023 removed the earlier subClassOf bfo:MaterialEntity to allow non-material samples, but all samples remain continuants. The relational restriction on sosa:isSampleOf captures that every sample must be a sample of at least one sosa:FeatureOfInterest.",exact,sosa:Sample,Sheet1,17,urn:uuid:28402605-2ad7-4768-bd45-5aa87d293a5c,active,rdfs:subClassOf,bfo:Continuant and (sosa:isSampleOf some sosa:FeatureOfInterest),,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
18,Common Classes,sosa:SampleCollection,set of one or more Samples or SampleCollections; collections may be nested.,Decision needed (default in place),subClassOf bfo:ObjectAggregate and (bfo:has_member_part some (sosa:Sample or sosa:SampleCollection)),"sosa:SampleCollection rdfs:subClassOf obo:BFO_0000002 , [ a owl:Restriction ; owl:onProperty obo:BFO_0000178 ; owl:someValuesFrom [ a owl:Class ; owl:unionOf ( sosa:Sample sosa:SampleCollection ) ] ] ; rdfs:comment ""Retyped from bfo:ObjectAggregate + has_member_part (both material) to bfo:Continuant + has_continuant_part: SOSA 2023 de-materialised sosa:Sample, and has_member_part (material to material) would re-impose materiality on member samples and drive any immaterial (e.g. spatial) sample to owl:Nothing. See Decisions needed.""@en .","SampleCollection is the only *Collection class in SOSA whose members are continuants rather than occurrents, and it is therefore modeled as a bfo:ObjectAggregate rather than a bfo:Process. Samples are physical (or spatial, or statistical) subsets of features of interest — they are things, not happenings — so aggregating them yields an object aggregate in BFO's sense. The parthood uses bfo:has_member_part (a specialization of bfo:has_continuant_part specifically for member-parthood of ObjectAggregates) rather than plain has_continuant_part, because this more precisely captures that Samples are member-objects of the aggregate rather than arbitrary spatial or fiat parts of a larger continuant. The four process-flavored collections use plain bfo:has_occurrent_part because BFO 2020 does not provide a parallel ""member occurrent part"" construct for processes. Note especially the contrast with sosa:SamplingCollection, which is a collection of sampling events (occurrents) and is therefore a bfo:Process — the distinction between ""a collection of sampling acts"" and ""a collection of the samples those acts produced"" is ontologically significant and is carried by this occurrent/continuant split. The axiom uses only a some-restriction on bfo:has_member_part and deliberately omits an only-restriction. Even though bfo:has_member_part is narrower than plain continuant parthood, an only-restriction is still risky here because member-parthood interacts with the continuant-parthood hierarchy, and a Sample has its own continuant parts (mineral grains in a rock sample, cells in a blood sample) that should not be forced to be Samples themselves. The homogeneity of direct collection members is enforced by the SHACL shape on sosa:hasMember (see Common OPs: sosa:hasMember). Note the terminological distinction: ""SOSA member"" refers to the sosa:hasMember relation; ""BFO member-part"" is the mereological relation between an ObjectAggregate and its member-objects. These two concepts are intentionally decoupled. The parthood of at least one member is asserted at the class level rather than through sosa:hasMember, because sosa:hasMember carries no parthood sub-property assertion (see Common OPs: sosa:hasMember). This row and the hasMember row work as a pair: the class carries the BFO parthood entailment where it is well-defined, the property carries the uniform SOSA collection-membership semantics, and SHACL shapes on hasMember validate member types per collection class.",exact,sosa:SampleCollection,Sheet1,18,urn:uuid:83717e9f-ddd3-4f3e-8479-01838d8a654d,active,rdfs:subClassOf,bfo:ObjectAggregate and (bfo:has_member_part some (sosa:Sample or sosa:SampleCollection)),,human decision required,,
19,Common Classes,sosa:Sampler,System that implements a SamplingProcedure to generate a Sample,Syntactic repair,"equivalentTo bfo:MaterialEntity
    and (bfo:bearer_of some
         (bfo:RealizableEntity and (bfo:realizes some sosa:Sampling)))
    and (cco:agent_in some sosa:Sampling)","sosa:Sampler owl:equivalentClass [ a owl:Class ; owl:intersectionOf ( obo:BFO_0000040 [ a owl:Restriction ; owl:onProperty obo:BFO_0000196 ; owl:someValuesFrom [ a owl:Class ; owl:intersectionOf ( obo:BFO_0000017 [ a owl:Restriction ; owl:onProperty obo:BFO_0000054 ; owl:someValuesFrom sosa:Sampling ] ) ] ] [ a owl:Restriction ; owl:onProperty cco:ont00001787 ; owl:someValuesFrom sosa:Sampling ] ) ] ; rdfs:comment ""Fixed realization direction (obo:BFO_0000054 realized-in, not obo:BFO_0000055 realizes); the workbook's filler was realizable-and-process = owl:Nothing, making every Sampler inconsistent. Equivalence and episodic conjuncts retained per the workbook; see Decisions needed for the dispositional reading.""@en .",sosa:Sampler is modeled analogously to sosa:Sensor and sosa:Actuator as a bfo:MaterialEntity bearing a bfo:RealizableEntity realized in a sampling process and functioning as an agent. The equivalentTo axiom captures that these conditions are both necessary and sufficient for being a sampler.,exact,sosa:Sampler,Sheet1,19,urn:uuid:d1d3c5cb-a3a5-4305-81b6-ed991ec62067,active,owl:equivalentClass,bfo:MaterialEntity and (bfo:bearer_of some (bfo:RealizableEntity and (bfo:has_realization some sosa:Sampling))) and (cco:agent_in some sosa:Sampling),,substantive review — proposed equivalence conflicts with prior project decision,,
20,Common Classes,sosa:Sampling,act of carrying out a SamplingProcedure using a Sampler to create one or more Samples of a FeatureOfInterest,OK as-is,equivalentTo cco:PlannedAct and (cco:prescribed_by some sosa:Procedure) and (cco:has_output some sosa:Sample),sosa:Sampling owl:equivalentClass [ a owl:Class ; owl:intersectionOf ( cco:ont00000228 [ a owl:Restriction ; owl:onProperty cco:ont00001920 ; owl:someValuesFrom sosa:Procedure ] [ a owl:Restriction ; owl:onProperty cco:ont00001986 ; owl:someValuesFrom sosa:Sample ] ) ] .,sosa:Sampling is modeled as a cco:PlannedAct because it is intentionally carried out according to a procedure to create or transform samples. The equivalentTo axiom captures that being prescribed by a procedure and producing a sample as output is both necessary and sufficient for being a sampling.,exact,sosa:Sampling,Sheet1,20,urn:uuid:f1852962-6094-4096-b9e5-45b2c81bc66b,active,owl:equivalentClass,cco:PlannedAct and (cco:prescribed_by some sosa:Procedure) and (cco:has_output some sosa:Sample),,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
21,Common Classes,sosa:SamplingCollection,set of one or more Samplings or SamplingCollections; collections may be nested,OK as-is,subClassOf bfo:Process and (bfo:has_occurrent_part some (sosa:Sampling or sosa:SamplingCollection)),sosa:SamplingCollection rdfs:subClassOf [ a owl:Class ; owl:intersectionOf ( obo:BFO_0000015 [ a owl:Restriction ; owl:onProperty obo:BFO_0000117 ; owl:someValuesFrom [ a owl:Class ; owl:unionOf ( sosa:Sampling sosa:SamplingCollection ) ] ] ) ] .,"SamplingCollection is modeled as a bfo:Process because a SamplingCollection is itself an occurrent that takes place over the time span of its member Samplings and shares the process nature of its members. Note the asymmetry with sosa:SampleCollection, which is a continuant aggregate (bfo:ObjectAggregate) because its members are Samples rather than acts of Sampling — the distinction between ""a collection of sampling events"" (occurrent) and ""a collection of the physical samples those events produced"" (continuant) is carried by this split. The axiom uses only a some-restriction on bfo:has_occurrent_part and deliberately omits an only-restriction. An only-restriction would be incorrect here because bfo:has_occurrent_part is transitive and ranges over all occurrent parts at any depth, including the internal sub-processes of the member Samplings themselves. Asserting bfo:has_occurrent_part only sosa:Sampling on the collection would force every internal sub-process of every member to also be a sosa:Sampling, which is wrong. The homogeneity of direct collection members is a constraint on direct sosa:hasMember edges, not on deep BFO occurrent parthood, and is enforced by the SHACL shape on sosa:hasMember (see Common OPs: sosa:hasMember). Note the terminological distinction: ""SOSA member"" refers to the sosa:hasMember relation; ""BFO occurrent part"" is the mereological relation that holds transitively. These are intentionally decoupled. The parthood of at least one member is asserted at the class level rather than through sosa:hasMember, because sosa:hasMember carries no parthood sub-property assertion (see Common OPs: sosa:hasMember). This row and the hasMember row work as a pair.",exact,sosa:SamplingCollection,Sheet1,21,urn:uuid:d4704d0a-a8cb-4ca0-a2a0-aa194de1ae21,active,rdfs:subClassOf,bfo:Process and (bfo:has_occurrent_part some (sosa:Sampling or sosa:SamplingCollection)),,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
22,Common Classes,sosa:SamplingProcedure,"workflow, protocol, plan, algorithm, or computational method specifying how to make a Sampling",Decision needed (default in place),subClassOf sosa:Procedure and (cco:prescribes some sosa:Sampling),"sosa:SamplingProcedure rdfs:subClassOf sosa:Procedure , [ a owl:Restriction ; owl:onProperty cco:ont00001942 ; owl:allValuesFrom sosa:Sampling ] ; rdfs:comment ""A Procedure all of whose prescribed acts are Samplings (allValuesFrom). See Decisions needed (Procedure family).""@en .",sosa:SamplingProcedure is a subclass of sosa:Procedure because it is a prescriptive information content entity that specifies how a sampling is to be carried out. The existential restriction on cco:prescribes distinguishes it from sosa:ActuatingProcedure and sosa:ObservingProcedure.,exact,sosa:SamplingProcedure,Sheet1,22,urn:uuid:7dab14b2-c0ff-438e-bad2-074c25736c4d,active,rdfs:subClassOf,sosa:Procedure and (cco:prescribes some sosa:Sampling),,human decision required,,
23,Common Classes,sosa:Sensor,System that implements an ObservingProcedure to determine the value of an observable Property,Syntactic repair,equivalentTo cco:Sensor [ = bfo:MaterialEntity and (bfo:bearer_of some (cco:'Sensor Function' or cco:'Sensor Role')) ],"sosa:Sensor owl:equivalentClass cco:ont00000569 ; rdfs:comment ""Equivalence to cco:Sensor retained per the accepted issue-429 position (the witness-test argument). The workbook cell's bracketed gloss '[ = bfo:MaterialEntity and (bearer_of some (Sensor Function or Sensor Role)) ]' is not OWL syntax and is not emitted; that expansion is CCO's to supply. Note: as of CCO 2.2 cco:Sensor (ont00000569) is defined as 'A Material Entity that bears a Sensor Function or Sensor Role' (Sensor Function ont00001241, Sensor Role ont00002073), matching the issue-429 reading; the residual caveat is that a non-material software or simulation sensor still falls outside a Material-Entity cco:Sensor.""@en .","Updated from subClassOf to equivalentTo, aligned with cco:Sensor (ont00000569) in the latest CCO release, which defines Sensor as exactly a Material Entity bearing a Sensor Function or Sensor Role. SOSA's Sensor is a material entity bearing a realizable that is realized in, and acts as the agent of, an Observation. Those conditions coincide - bearing a Sensor Function/Role is what it is to be realized as the sensing agent - so full equivalence holds rather than a one-way subclass. This also settles the earlier open question in CCO's favor: the dispositional reading (bears the realizable, even if never used) is canonical, so unused sensors count as sensors on both sides.",exact,sosa:Sensor,Sheet1,23,urn:uuid:5c81ebfe-53f9-4173-a1c6-b1ee9986a660,deferred,,,"Mapping deferred pending either the next CCO release or publication of the forthcoming SOSA 2023 Edition, because the required target category or alignment basis is not yet sufficiently stable.",defer — resolve equivalence against the exact target CCO version,,
24,Common Classes,sosa:SpatialSample,subset of a FeatureOfInterest defined by its location and shape in space,Semantic redesign,subClassOf sosa:Sample and (sosa:isSampleOf some (bfo:Entity and (bfo:occupies_spatial_region some bfo:SpatialRegion))),"sosa:SpatialSample rdfs:subClassOf [ a owl:Class ; owl:intersectionOf ( sosa:Sample [ a owl:Restriction ; owl:onProperty cco:ont00001816 ; owl:someValuesFrom [ a owl:Class ; owl:intersectionOf ( sosa:Sampling [ a owl:Restriction ; owl:onProperty sosa:hasFeatureOfInterest ; owl:someValuesFrom [ a owl:Restriction ; owl:onProperty obo:BFO_0000210 ; owl:someValuesFrom obo:BFO_0000006 ] ] ) ] ] ) ] ; rdfs:comment ""A Sample whose Sampling's FeatureOfInterest occupies a spatial region; modelled as a Sample, not as a spatial region itself (so it does not clash with the material samples in a collection).""@en .","sosa:SpatialSample is a subclass of sosa:Sample whose feature of interest is defined by spatial extent. The restriction on bfo:occupies_spatial_region captures that the sampled entity must occupy some spatial region, distinguishing spatially-defined samples from statistical or material ones.",exact,sosa:SpatialSample,Sheet1,24,urn:uuid:2fd520df-df1a-43e4-935c-7ec033548d73,active,rdfs:subClassOf,sosa:Sample and (sosa:isSampleOf some (bfo:Entity and (bfo:occupies_spatial_region some bfo:SpatialRegion))),,substantive reconciliation required,,
25,Common Classes,sosa:StatisticalSample,subset of a FeatureOfInterest defined by the statistical process used to create it,OK as-is,subClassOf sosa:Sample and (cco:is_output_of some (sosa:Sampling and (cco:prescribed_by some sosa:SamplingProcedure))),sosa:StatisticalSample rdfs:subClassOf [ a owl:Class ; owl:intersectionOf ( sosa:Sample [ a owl:Restriction ; owl:onProperty cco:ont00001816 ; owl:someValuesFrom [ a owl:Class ; owl:intersectionOf ( sosa:Sampling [ a owl:Restriction ; owl:onProperty cco:ont00001920 ; owl:someValuesFrom sosa:SamplingProcedure ] ) ] ] ) ] .,"sosa:StatisticalSample is a subclass of sosa:Sample defined by its origin in a statistically-prescribed sampling process. The nested restriction captures that the sampling must itself be prescribed by a sosa:SamplingProcedure, grounding the statistical character of the sample in the procedure rather than in the sample itself.",exact,sosa:StatisticalSample,Sheet1,25,urn:uuid:eef0b2ee-fc06-409d-b5b9-22f2cbdce3fb,active,rdfs:subClassOf,sosa:Sample and (cco:is_output_of some (sosa:Sampling and (cco:prescribed_by some sosa:SamplingProcedure))),,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
26,Common Classes,sosa:Stimulus,event in the real world that triggers a Sensor,Syntactic repair,equivalentTo cco:Cause and (cco:is_cause_of some sosa:Observation),"sosa:Stimulus owl:equivalentClass [ a owl:Class ; owl:intersectionOf ( cco:ont00000978 [ a owl:Restriction ; owl:onProperty cco:ont00001803 ; owl:someValuesFrom sosa:Observation ] ) ] ; rdfs:comment ""Equivalence retained, matching the workbook and the published BFO-Mappings release: a Cause that is the cause of some Observation. (A one-way subclass would avoid the mild over-capture whereby any causing process is classified a Stimulus, but the equivalence is the source's stated intent and is satisfiable.)""@en .",sosa:Stimulus is modeled as a cco:Cause — an occurrent whose domain and range are both bfo:Occurrent — because a stimulus is an event or happening that causally contributes to an observation. The equivalentTo axiom captures that being a cause of at least one observation is both necessary and sufficient for being a stimulus.,exact,sosa:Stimulus,Sheet1,26,urn:uuid:2a1ddfd2-c95f-4d25-acd8-8856ef4166b5,active,owl:equivalentClass,cco:Cause and (cco:is_cause_of some sosa:Observation),,compare and adapt only after IRI/version verification,,
27,Common Classes,sosa:System,An Asset that implements a Procedure in the context of an Execution,OK as-is,equivalentTo bfo:MaterialEntity and (sosa:implements some sosa:Procedure),sosa:System owl:equivalentClass [ a owl:Class ; owl:intersectionOf ( obo:BFO_0000040 [ a owl:Restriction ; owl:onProperty sosa:implements ; owl:someValuesFrom sosa:Procedure ] ) ] .,"sosa:System is modeled as a bfo:MaterialEntity defined by its capability to implement procedures. The equivalentTo axiom captures that being a material entity that implements at least one procedure is both necessary and sufficient for being a system, reflecting the functional rather than structural definition in SOSA.",exact,sosa:System,Sheet1,27,urn:uuid:73ddfafa-1d1f-4c25-a89a-0b8f04ba4940,active,owl:equivalentClass,bfo:MaterialEntity and (sosa:implements some sosa:Procedure),,verify existing active mapping against external correction,already_represented,The System class axiom itself already matches the external cross-ontology commitment. Its use of sosa:implements remains dependency-sensitive to the separately validated adaptation of that relation's property chain.
28,Common OPs,sosa:actsOn,relation from an Actuator to a Property whose state may be changed by using it,Not DL-expressible,subPropertyOf bfo:has_participant,"sosa:actsOn a owl:ObjectProperty ; rdfs:domain sosa:Actuator ; rdfs:range sosa:Property ; rdfs:comment ""Capability-level relation (an Actuator is capable of acting on a Property). No BFO/CCO participation super-property is asserted (it would type every Actuator as a process); the occurrence-level reading is carried in the RO mapping and may be validated by SHACL.""@en .",sosa:actsOn is a capability-level relation between a sosa:Actuator and a sosa:Property. It is marked difficult because it relates a continuant (sosa:Actuator) to a specifically dependent continuant (sosa:Property) at the type level rather than through a specific process. bfo:has_participant is the best available upper mapping but does not fully capture the capability framing.,exact,sosa:actsOn,Sheet2,12,urn:uuid:96f8d18b-0491-41a4-b0d6-d7dde067b2e3,active,rdfs:subPropertyOf,bfo:has_participant,,do not adopt directly in OWL; assess annotation/SHACL/rule,deactivate,"The source relation has an Actuator subject, whereas bfo:has_participant has a process domain. The current subproperty axiom can therefore classify an actuator as a process."
29,Common OPs,sosa:actsOnProperty,relation from an Actuation to the Property it acted upon,Semantic redesign,subPropertyOf cco:affects,"sosa:actsOnProperty a owl:ObjectProperty ; rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Actuation sosa:ActuationCollection ) ] ; rdfs:range sosa:Property ; rdfs:comment ""The workbook maps this under CCO affects, but affects has a continuant range, so an actuation acting on a ProcessProfile-branch Property (a rate or pattern — a legitimate actuation target) would be typed Continuant and Occurrent at once and the ontology would be inconsistent on that assertion. The super is therefore not asserted (the same treatment as sosa:observedProperty); the causal-affect reading is carried in the RO/annotation layer. This also removes the branch-dependence noted under Decisions needed.""@en .","sosa:actsOnProperty maps to cco:affects because an actuation acting on a property constitutes a causal influence on that property — the actuation makes a difference to the property's state, which is precisely what cco:affects captures.",exact,sosa:actsOnProperty,Sheet2,13,urn:uuid:27ce3724-23eb-4a3d-b2a1-e2615a139a81,active,rdfs:subPropertyOf,cco:affects,,substantive reconciliation required,deactivate,"cco:affects has a continuant range, whereas sosa:Property includes the ProcessProfile branch. The current mapping can therefore impose continuant typing on an occurrent property."
30,Common OPs,sosa:deployedAsset,relation from a Deployment to an Asset (System or Platform),OK as-is,"sosa:deployedAsset rdfs:domain sosa:Deployment .
sosa:deployedAsset rdfs:range [ a owl:Class ; owl:unionOf ( sosa:System sosa:Platform ) ] .
sosa:deployedAsset rdfs:subPropertyOf bfo:has_participant .","sosa:deployedAsset rdfs:domain sosa:Deployment .
sosa:deployedAsset rdfs:range [ a owl:Class ; owl:unionOf ( sosa:System sosa:Platform ) ] .
sosa:deployedAsset rdfs:subPropertyOf obo:BFO_0000057 .","sosa:deployedAsset maps to bfo:has_participant because the deployed entity participates in the deployment process. The range restriction to sosa:System or sosa:Platform replaces the opaque term ""asset"" with the actual types that can be deployed.",exact,sosa:deployedAsset,Sheet2,14,urn:uuid:5d5f0473-515b-4ef3-b5d3-33e3027e7661,active,rdfs:subPropertyOf,bfo:has_participant,,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
31,Common OPs,sosa:deployedOnPlatform,relation from a Deployment to a Platform on which Systems are hosted,OK as-is,"sosa:deployedOnPlatform rdfs:domain sosa:Deployment .
sosa:deployedOnPlatform rdfs:range sosa:Platform .
sosa:deployedOnPlatform rdfs:subPropertyOf bfo:has_participant .","sosa:deployedOnPlatform rdfs:domain sosa:Deployment .
sosa:deployedOnPlatform rdfs:range sosa:Platform .
sosa:deployedOnPlatform rdfs:subPropertyOf obo:BFO_0000057 .",sosa:deployedOnPlatform maps to bfo:has_participant because the platform participates in the deployment process as the entity on which systems are installed or hosted.,exact,sosa:deployedOnPlatform,Sheet2,15,urn:uuid:55243300-5a36-4342-a089-79ec19b4574f,active,rdfs:subPropertyOf,bfo:has_participant,,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
32,Common OPs,sosa:deployedSystem,relation from a Deployment to a deployed System,OK as-is,"sosa:deployedSystem rdfs:domain sosa:Deployment .
sosa:deployedSystem rdfs:range sosa:System .
sosa:deployedSystem rdfs:subPropertyOf bfo:has_participant .","sosa:deployedSystem rdfs:domain sosa:Deployment .
sosa:deployedSystem rdfs:range sosa:System .
sosa:deployedSystem rdfs:subPropertyOf obo:BFO_0000057 .",sosa:deployedSystem maps to bfo:has_participant because the deployed system participates in the deployment process as the primary entity being positioned or installed.,exact,sosa:deployedSystem,Sheet2,16,urn:uuid:0e7d7994-e6c4-4b2c-84e4-d91c8ec01255,active,rdfs:subPropertyOf,bfo:has_participant,,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
33,Common OPs,sosa:detects,relation from a Sensor to the Stimulus that it detects,OK as-is,"sosa:detects rdfs:domain sosa:Sensor .
sosa:detects rdfs:range sosa:Stimulus .
sosa:detects rdfs:subPropertyOf cco:is_affected_by .","sosa:detects rdfs:domain sosa:Sensor .
sosa:detects rdfs:range sosa:Stimulus .
sosa:detects rdfs:subPropertyOf cco:ont00001886 .","sosa:detects maps to cco:is_affected_by because detection minimally requires that the stimulus makes a causal difference to the sensor. The stimulus affects the sensor's state, triggering a response, which is precisely what cco:is_affected_by captures.",exact,sosa:detects,Sheet2,17,urn:uuid:2d000038-5519-467a-8332-77ff24b2059e,active,rdfs:subPropertyOf,cco:is_affected_by,,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
